Area Code,Local Authority Name,Area name,Area of Admin Geography,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Quality of Fit Indicator
00AA,City of London,City of London,3151.48,7.6,0.1,37.5,23.8,0.2,0.4,4.8,13.3,12.2,0,100,
00ABFX,Barking and Dagenham,Abbey,1278.97,11.6,15.5,8.7,18.9,6.6,2.2,19.8,2,14.7,0,100,0.57
00ABFY,Barking and Dagenham,Alibon,1360.81,11.3,42.3,2.7,13.5,2,0.4,22.9,0,4.8,0,100,-0.01
00ABFZ,Barking and Dagenham,Becontree,1284.14,15.2,49.1,3.4,20.5,0,0.6,5.9,0,5.4,0,100,-0.69
00ABGA,Barking and Dagenham,Chadwell Heath,3380.42,5.3,15.5,1.7,8.1,0,0.7,64.3,0.3,4.2,0,100,15.26
00ABGB,Barking and Dagenham,Eastbrook,3454.12,6.2,19,4.8,8.4,0.9,1.2,45.8,4.7,9.1,0,100,0.53
00ABGC,Barking and Dagenham,Eastbury,1445.31,12.1,37.2,3.9,17.6,3.8,1,15.8,0.2,8.5,0,100,1.07
00ABGD,Barking and Dagenham,Gascoigne,1133.92,10.8,15,9.5,20.2,0.5,3.6,19.6,2.7,18.1,0,100,-0.97
00ABGE,Barking and Dagenham,Goresbrook,1279.96,12.8,42.6,2.5,16.5,1,0.8,19.1,0.2,4.6,0,100,0.69
00ABGF,Barking and Dagenham,Heath,2005.45,8,24.2,4.2,13.3,0,1.4,39.9,0.8,8.3,0,100,-0.61
00ABGG,Barking and Dagenham,Longbridge,1640.12,13.8,35,2.5,16.5,0,0.7,22.4,2.5,6.5,0,100,-0.83
00ABGH,Barking and Dagenham,Mayesbrook,1850.77,9,30.9,1.7,11.6,0.5,0.9,35.8,4.6,4.9,0,100,-0.9
00ABGJ,Barking and Dagenham,Parsloes,1243.28,12.7,43.5,2.4,16.1,0,0.8,20.4,0,4.2,0,100,-0.09
00ABGK,Barking and Dagenham,River,3551.53,6,15.4,15.3,10.8,6.1,0.6,16.8,4.8,24.3,0,100,-9.14
00ABGL,Barking and Dagenham,Thames,7883.55,3.2,5.8,9.4,8.3,4.7,0.4,41.6,5.4,21.2,0,100,-10.22
00ABGM,Barking and Dagenham,Valence,1292.59,12.8,39.6,4.5,18,0,0.5,17.2,0.2,7.3,0,100,-0.1
00ABGN,Barking and Dagenham,Village,2139.87,8.4,22.5,1.9,10.7,0.1,1.3,46.5,3.3,5.4,0,100,0.8
00ABGP,Barking and Dagenham,Whalebone,1554.08,12.4,30.3,8.7,16.1,2.2,1.2,16.9,0,12.2,0,100,-0.41
00ACFX,Barnet,Brunswick Park,3173.7,10.3,36.6,3.2,11.8,1.9,0.9,27.9,0.4,7,0,100,0.76
00ACFY,Barnet,Burnt Oak,2064.07,10.8,34,3.8,15.5,1.2,1.7,24.7,0.5,7.8,0,100,0.22
00ACFZ,Barnet,Childs Hill,3088.9,12.9,34.9,4.2,16,11.4,0.8,13.7,0.1,6.1,0,100,6.77
00ACGA,Barnet,Colindale,2641.81,8,16.7,10.2,12,3.2,1.6,31.8,0.8,15.7,0,100,0.86
00ACGB,Barnet,Coppetts,2720.35,10.9,28.9,3.6,15.2,0,1.4,32.3,0.1,7.6,0,100,-0.37
00ACGC,Barnet,East Barnet,3752.15,9.4,33.1,2.2,11.5,1.8,0.8,35.8,0.7,4.8,0,100,1.1
00ACGD,Barnet,East Finchley,2523.96,10.3,23.3,3.5,16.9,0.7,1,39.5,0,4.9,0,100,-0.12
00ACGE,Barnet,Edgware,5560.18,6.1,20.7,2.4,11.9,1.1,0.4,53.1,0.2,4.2,0,100,-0.97
00ACGF,Barnet,Finchley Church End,2709.31,13.7,42.5,3.2,16.8,0.5,0.7,17,0.4,5.2,0,100,-0.08
00ACGG,Barnet,Garden Suburb,4730.89,9.6,39.7,2.7,13.7,0.3,0.8,28,0.3,4.9,0,100,-0.7
00ACGH,Barnet,Golders Green,2977.61,13.2,33,4.8,20.8,0.7,0.3,18.6,0.2,8.3,0,100,-5.14
00ACGJ,Barnet,Hale,5421.64,6.5,25.4,0.9,11.1,0.4,0.4,52.7,0.6,2.1,0,100,-1.2
00ACGK,Barnet,Hendon,2839.91,11.7,33.8,5,18.8,0.1,1,21.8,0.5,7.3,0,100,-1.39
00ACGL,Barnet,High Barnet,8309.02,5,21.6,1.7,5.9,0,0.4,61.8,0.3,3.2,0,100,0.18
00ACGM,Barnet,Mill Hill,9387.26,4.7,17.5,1.9,8.7,0.1,0.7,61.5,0.2,4.6,0,100,-0.36
00ACGN,Barnet,Oakleigh,3316.9,11.3,49.2,2.2,13.7,0.5,0.3,17.8,0.3,4.7,0,100,-1.05
00ACGP,Barnet,Totteridge,8767.64,4.5,21.6,1.3,5.3,0.3,0.5,63.1,0.7,2.7,0,100,1.53
00ACGQ,Barnet,Underhill,4552.1,7.3,28.7,1.7,8.3,0.7,0.9,48.6,0.1,3.8,0,100,-1.04
